GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jGroph in-memory Storage,net.slc.jgroph.adapters.inmemorystorage,InMemoryResourceRepository,0,32,0,2,0,6,0,3,0,2
jGroph in-memory Storage,net.slc.jgroph.adapters.inmemorystorage,ResourceRepositoryData,5,34,0,0,2,5,0,1,0,1
