GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jGroph API,net.slc.jgroph.adapters.api,ErrorPresenter,0,18,0,0,0,6,0,3,0,3
jGroph API,net.slc.jgroph.adapters.api,ResourceController,0,42,0,0,0,10,0,2,0,2
jGroph API,net.slc.jgroph.adapters.api,Bootstrap,1,35,0,0,1,8,1,2,1,2
jGroph API,net.slc.jgroph.adapters.api,ResourceServlet,0,54,0,2,0,10,0,3,0,2
jGroph API,net.slc.jgroph.adapters.api,ApiResourcePresenter,0,26,0,0,0,8,0,3,0,3
jGroph API,net.slc.jgroph.adapters.api,BasePresenter,0,33,0,0,0,12,0,2,0,2
jGroph API,net.slc.jgroph,FrontServlet,8,0,0,0,3,0,2,0,2,0
